ratings,price,brand,color,storage,processor_type,resolution,size
4.4,316,vivo,black,256GB,qualcomm,Full HD,6.4
4.4,214,oneplus,blue,128GB,intel,Full HD,6.6
4.2,112,tecno,gold,64GB,mediatek,4K,6.6
4.0,126,redmi,black,128GB,intel,HD,6.5
4.2,138,samsung,blue,64GB,intel,4K,6.4
4.4,188,vivo,blue,128GB,qualcomm,Full HD,6.6
4.2,279,redmi,blue,256GB,intel,Full HD,6.7
4.3,151,infinix,black,64GB,mediatek,Full HD,6.7
4.2,133,motorola,grey,64GB,qualcomm,Full HD,6.5
4.2,371,oneplus,green,256GB,intel,Full HD,6.7
4.2,139,samsung,blue,64GB,mediatek,HD,6.4
4.4,194,oppo,black,64GB,mediatek,HD,6.2
4.5,303,redmi,white,128GB,qualcomm,Full HD,6.4
4.4,170,oppo,blue,128GB,qualcomm,HD,6.5
4.2,182,infinix,black,128GB,mediatek,Full HD,6.8
4.3,303,realme,grey,256GB,qualcomm,Full HD,6.4
4.5,340,vivo,white,128GB,qualcomm,Full HD,6.4
4.4,194,samsung,black,128GB,samsung,Full HD,6.4
4.1,170,redmi,blue,64GB,qualcomm,Full HD,6.7
4.2,145,motorola,black,32GB,qualcomm,HD,6.0
4.5,291,vivo,blue,64GB,qualcomm,Full HD,6.3
4.5,206,redmi,black,64GB,qualcomm,Full HD,6.3
4.0,345,mi,silver,128GB,qualcomm,Full HD,6.7
4.3,182,vivo,blue,128GB,intel,HD,6.5
4.3,222,oppo,grey,32GB,mediatek,HD,5.5
4.2,182,infinix,black,128GB,mediatek,Full HD,6.7
4.2,258,redmi,blue,128GB,intel,Full HD,6.6
4.1,230,samsung,blue,128GB,intel,4K,6.5
4.1,182,infinix,black,128GB,mediatek,Full HD,6.8
4.3,107,tecno,gold,64GB,mediatek,Full HD,6.6
4.2,389,samsung,white,128GB,samsung,Full HD,6.5
4.2,376,samsung,silver,128GB,mediatek,4K,6.6
4.4,170,oppo,black,64GB,mediatek,HD,6.5
4.3,218,vivo,black,128GB,qualcomm,Full HD,6.6
4.2,364,oppo,black,128GB,mediatek,Full HD,6.4
4.2,115,samsung,blue,32GB,mediatek,HD,6.5
4.4,127,realme,silver,64GB,mediatek,Full HD,6.5
4.3,334,realme,blue,128GB,qualcomm,Full HD,6.4
4.2,182,samsung,black,128GB,intel,Full HD,6.4
4.0,200,oppo,blue,128GB,qualcomm,HD,6.6
4.1,164,infinix,blue,128GB,mediatek,4K,6.6
4.4,206,vivo,purple,64GB,mediatek,HD,6.2
4.1,102,tecno,white,64GB,intel,HD,6.6
4.3,188,motorola,black,256GB,qualcomm,Full HD,6.7
4.2,230,samsung,black,128GB,intel,HD,6.5
4.2,291,redmi,blue,128GB,intel,Full HD,6.7
4.2,114,redmi,purple,64GB,intel,HD,6.7
4.1,182,vivo,gold,32GB,mediatek,HD,5.5
4.0,227,oppo,black,128GB,intel,HD,6.6
4.3,215,vivo,grey,128GB,qualcomm,Full HD,6.6
4.4,139,realme,silver,64GB,mediatek,Full HD,6.5
4.2,121,motorola,blue,64GB,mediatek,HD,6.5
4.4,352,oppo,white,128GB,mediatek,Full HD,6.5
4.2,303,motorola,grey,128GB,qualcomm,Full HD,6.7
3.8,291,samsung,blue,128GB,qualcomm,Full HD,6.6
4.2,133,vivo,green,64GB,mediatek,HD,6.5
4.1,303,motorola,grey,128GB,qualcomm,Full HD,6.5
4.3,103,vivo,blue,32GB,mediatek,HD,6.2
4.2,212,redmi,black,128GB,intel,Full HD,6.7
4.3,120,oppo,white,32GB,mediatek,HD,6.5
4.2,133,infinix,black,64GB,mediatek,Full HD,6.7
4.5,194,tecno,blue,128GB,mediatek,HD,6.8
4.3,157,oppo,green,64GB,mediatek,HD,6.5
4.3,370,oneplus,black,128GB,intel,Full HD,6.7
4.2,249,xiaomi,black,256GB,qualcomm,Full HD,6.7
4.4,401,oppo,blue,256GB,mediatek,Full HD,6.7
4.2,137,redmi,black,64GB,intel,Full HD,6.5
4.3,160,redmi,blue,64GB,intel,Full HD,6.7
4.3,164,redmi,white,64GB,intel,Full HD,6.7
4.4,486,oppo,black,128GB,intel,HD,6.4
4.3,178,tecno,blue,128GB,mediatek,HD,6.6
4.3,291,vivo,gold,128GB,mediatek,Full HD,6.4
4.3,115,oppo,black,32GB,mediatek,HD,6.5
4.5,170,tecno,white,128GB,mediatek,HD,6.6
4.2,170,realme,black,64GB,mediatek,Full HD,6.4
4.4,395,samsung,green,128GB,intel,Full HD,6.7
4.4,133,vivo,black,32GB,qualcomm,HD,6.3
4.5,115,oppo,blue,64GB,mediatek,HD,6.6
4.1,194,samsung,green,64GB,samsung,Full HD,6.6
4.1,194,tecno,silver,128GB,mediatek,4K,6.9
4.2,298,samsung,black,128GB,qualcomm,Full HD,6.5
4.2,115,tecno,green,64GB,mediatek,HD,6.6
4.3,218,samsung,black,128GB,intel,4K,6.5
4.2,206,motorola,grey,64GB,qualcomm,Full HD,6.8
4.5,243,vivo,blue,64GB,qualcomm,Full HD,6.4
4.4,206,oppo,black,128GB,qualcomm,Full HD,6.6
4.3,328,oneplus,blue,128GB,intel,4K,6.4
